requirement_id,theme,role,need,outcome,dependencies,requirement_owner,source_reference,acceptance_criteria,source_pages
FR-G2-24,Administration & Configuration,System Administrator,to expand/collapse site nodes and include/exclude updates per site,I can stage updates efficiently,None,TBD,User Guide Sec 12.8,"• Given site nodes, Then I can expand to view items or collapse to omit a site from import.",47
FR-G2-25,Administration & Configuration,System Administrator,a Select All option for all updates,I can apply bulk updates,None,TBD,User Guide Sec 12.8,"• Given I click Select All, Then all updates are marked for import.",47
FR-G2-26,Administration & Configuration,System Administrator,a final confirmation view after saving updates,I can verify results,None,TBD,User Guide Sec 12.8,"• Given I click Save, Then the SAP Process Complete screen summarises results.",47;48
FR-G2-27,Administration & Configuration,System Manager / Administrator,a confirmation dialog before deleting a Sector,accidental deletion is avoided,None,TBD,User Guide Sec 12.9,"• Given I click Delete on a Sector, Then a confirmation dialog appears; OK deletes, Cancel aborts.",48
FR-G2-28,Administration & Configuration,System Manager / Administrator,a success dialog after Sector deletion,I receive feedback,None,TBD,User Guide Sec 12.9,"• Given deletion succeeds, Then a success dialog is shown.",48
FR-G2-29,Administration & Configuration,System (implicit),to generate an initial password meeting length/complexity and not containing ID or names,new accounts are secure,None,TBD,User Guide Sec 12.11,"• Given a new user is created, Then the system generates a password: 6–14 chars, 3 of 4 categories, excludes UserID/First/Surname, and forces change at first login.",48;49
FR-G2-30,Administration & Configuration,System (implicit),to require password change after an admin reset,security is maintained,None,TBD,User Guide Sec 12.6,"• Given a password is reset, Then the user must change it on next login.",49
FR-G2-31,Administration & Configuration,Any user with search,"to see user suggestions as “First Name, Surname (User ID)”",I can pick the correct person,None,TBD,"User Guide Sec 10.2, 11.6, 12.6, 12.11","• Given I type 3+ characters, Then suggestions display in the specified format.",49
FR-G2-32,Administration & Configuration,System Manager / Administrator,to set the Include In Report flag on user profiles,reports include only intended users,None,TBD,"User Guide Sec 12.11, 11.1","• Given I toggle Include In Report and save, Then the user appears/disappears from reports accordingly.",49;50
FR-G2-33,Administration & Configuration,System Manager / Administrator,to set a role as the default role,new users inherit sensible defaults,None,TBD,User Guide Sec 12.7,"• Given I set Default Role, Then new users can be initialised with that role as appropriate.",50
FR-G2-34,Administration & Configuration,System Manager / Administrator,to specify which Message Types each role can access,fine-grained control is possible,None,TBD,User Guide Sec 12.7,"• Given I adjust Message Type access on a role, Then users of that role see only those types.",50
FR-I01,Cross-cutting System Rules,System (implicit),to enforce role-based visibility and access to functions and menus,users see and do only what they are permitted,None,TBD,"User Guide Sec 2.4, 12.7","• Given a role without a function, When signed in, Then the corresponding menu item is hidden or disabled. • Given a role with a function, When signed in, Then I can access that function successfully.",50
FR-I02,Cross-cutting System Rules,System (implicit),to constrain searches and reports to the user’s site unless See All Primary Message Groups permission is granted,data privacy and relevance are preserved,None,TBD,"User Guide Sec 10.3, 11.6–11.9","• Given I lack the See All PMG permission, When I search users/messages, Then results are scoped to my site. • Given I have the permission, When I search, Then I can see results across sites.",50;51
FR-I03,Cross-cutting System Rules,System (implicit),to show/hide messages based on Message Group rights (Prohibited/Allowed/Mandatory),users see only relevant content and mandatory items are highlighted,None,TBD,"User Guide Sec 2.5, 10.2","• Given Prohibited, When a user is in that group, Then the message is not visible. • Given Allowed, When a user is in that group, Then the message appears in Other Messages. • Given Mandatory, When a user is in that group, Then the message appears in the Mandatory list.",51
FR-J01,UI Standards,Any user,to see a validation summary and field-level highlights on invalid input,I can correct errors before saving,None,TBD,User Guide Sec 3.3,"• Given invalid entries, When I save, Then a summary lists issues and fields are highlighted in error. • Given all issues resolved, When I save, Then the record persists.",51;52
FR-J02,UI Standards,Any user,to select dates/times using a date picker control,I can enter dates accurately and consistently,None,TBD,User Guide Sec 3.4,"• Given I have the required permissions, When I click the date picker, Then I see a calendar/time control allows selection and populates the field. • And results/actions are consistent with my role and scope.",52
FR-J03,UI Standards,System (implicit) / Data Preparer,to optionally enforce that Instruction Display/Print PDF filenames equal the Message ID,uploaded content maps unambiguously to the message,None,TBD,User Guide Sec 10.2,"• Given the config flag is on, When I upload PDFs with mismatched names, Then validation blocks saving. • Given matching names, When I save, Then the Instruction persists.",52
FR-J04,UI Standards,Any user with edit rights,"to move items between Available/Selected lists using <, >, <<, >>",I can assign access and recipients efficiently,None,TBD,User Guide Sec 3.5,"• Given two lists, When I click > for selected items, Then those items move to the Selected list. • Given I click <<, When items exist, Then all move back to Available.",52
