requirement_id,theme,source_pages,source_reference,design_component,code_path,automated_test,manual_test,status,notes
NFR-04,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/settings/base.py; firstbrief/core/middleware.py; .github/workflows/ci.yml,tests/test_foundation.py,Django deploy check and dependency audit,Partial,"Secure cookies, CSRF, headers, CSP baseline, fail-closed production configuration and dependency audit are implemented; identity and full assurance remain later prompts."
NFR-05,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/core/logging.py,tests/test_foundation.py,Structured log inspection,Partial,Correlation-aware structured logging foundation exists; append-only business audit events are Prompt 10 work.
NFR-06,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/settings/base.py; firstbrief/notifications/services.py,tests/test_notifications.py,UTC and local quiet-hour review,Implemented,UTC scheduling and IANA-timezone quiet hours are tested across the Europe/London DST boundary.
NFR-07,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,docs/domain-model.md,,,Designed,Optimistic concurrency remains a message-domain implementation requirement.
NFR-08,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/settings/base.py,,,Partial,Safe upload memory limits are configured; quarantine validation scanning and protected storage are Prompt 4 work.
NFR-09,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/core/models.py; docs/deployment.md,tests/test_foundation.py,,Partial,Secrets are rejected from runtime settings and deployment handling is documented; retention and data-protection workflows remain later work.
NFR-10,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/core/jobs.py; firstbrief/notifications/models.py; firstbrief/notifications/services.py; compose.yaml,tests/test_foundation.py; tests/test_notifications.py,PostgreSQL Redis web Beat and worker smoke test,Implemented,"Database-authoritative outbox and schedules support retries, dead letters, outage catch-up, deduplication and operator recovery."
FR-K01,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Instructions and lifecycle,firstbrief/messaging/services.py,tests/test_messaging.py,,Proposed,Withdraw-before-effective is implemented with reason and audit evidence pending formal approval.
FR-K02,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Instructions and lifecycle,firstbrief/messaging/services.py,tests/test_messaging.py,,Proposed,Post-release/effective cancellation preserves the original pending formal approval.
FR-K03,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Instructions and lifecycle,firstbrief/messaging/models.py; firstbrief/messaging/services.py,tests/test_messaging.py,,Proposed,Bidirectional supersession link preserves both records pending formal approval.
FR-K04,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Scheduling and notifications,firstbrief/notifications/models.py; firstbrief/notifications/services.py; firstbrief/notifications/views.py,tests/test_notifications.py,,Proposed,Independent anchors/offsets quiet hours retries deduplication dead letters and manual resend are implemented pending formal adoption.
FR-K05,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Retention and assurance,,,,Proposed,Gap-closing requirement pending formal product/security/records approval.
FR-K06,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Identity and access,,,,Proposed,Gap-closing requirement pending formal product/security/records approval.
FR-K07,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Reporting and compliance,,,,Proposed,Gap-closing requirement pending formal product/security/records approval.
